Temperature_C,THD_Percent,AAF_Total
50.0,0.0,0.008666765818896537
51.63265306122449,0.0,0.0107638901554052
53.265306122448976,0.0,0.013339513721928507
54.89795918367347,0.0,0.01649617826525397
56.53061224489796,0.0,0.020356966611424103
58.16326530612245,0.0,0.025069326935766207
59.79591836734694,0.0,0.03080955404120514
61.42857142857143,0.0,0.03778803085422935
63.06122448979592,0.0,0.046255347993900915
64.6938775510204,0.0,0.056509435761194486
66.3265306122449,0.0,0.06890386143508738
67.9591836734694,0.0,0.08385746556786623
69.59183673469389,0.0,0.10186553428407538
71.22448979591837,0.0,0.12351273066538049
72.85714285714286,0.0,0.14948803742920513
74.48979591836735,0.0,0.18060199558793252
76.12244897959184,0.0,0.21780655993809603
77.75510204081633,0.0,0.262217932432232
79.38775510204081,0.0,0.3151427791147935
81.0204081632653,0.0,0.37810828577199823
82.65306122448979,0.0,0.4528965621992779
84.28571428571428,0.0,0.541583965507164
85.91836734693878,0.0,0.6465859796798389
87.55102040816327,0.0,0.7707083622185358
89.18367346938776,0.0,0.9172053497312966
90.81632653061224,0.0,1.089845803396811
92.44897959183673,0.0,1.2929882730010178
94.08163265306123,0.0,1.5316660654298369
95.71428571428572,0.0,1.8116835208559174
97.34693877551021,0.0,2.139724828181545
98.9795918367347,0.0,2.5234768514442005
100.61224489795919,0.0,2.97176759175393
102.24489795918367,0.0,3.494722075863685
103.87755102040816,0.0,4.103937643678472
105.51020408163265,0.0,4.81268080394589
107.14285714285714,0.0,5.636108041151797
108.77551020408163,0.0,6.5915131884452896
110.40816326530611,0.0,7.6986042324674155
112.04081632653062,0.0,8.979812687549403
113.6734693877551,0.0,10.460638970234493
115.3061224489796,0.0,12.170037521877527
116.93877551020408,0.0,14.140845768672913
118.57142857142857,0.0,16.410261376395823
120.20408163265306,0.0,19.02037265303336
121.83673469387756,0.0,22.018747378002807
123.46938775510205,0.0,25.45908579355987
125.10204081632654,0.0,29.40194398409786
126.73469387755102,0.0,33.915534394219655
128.3673469387755,0.0,39.076610798677365
130.0,0.0,44.971445638542484
50.0,0.40816326530612246,0.009197384134339183
51.63265306122449,0.40816326530612246,0.011422903838389193
53.265306122448976,0.40816326530612246,0.014156218643679233
54.89795918367347,0.40816326530612246,0.01750614836312666
56.53061224489796,0.40816326530612246,0.021603311506001092
58.16326530612245,0.40816326530612246,0.026604183686935567
59.79591836734694,0.40816326530612246,0.0326958532682177
61.42857142857143,0.40816326530612246,0.04010158376367196
63.06122448979592,0.40816326530612246,0.04908730807516016
64.6938775510204,0.40816326530612246,0.05996919713432885
66.3265306122449,0.40816326530612246,0.07312246519641927
67.9591836734694,0.40816326530612246,0.08899159611283763
69.59183673469389,0.40816326530612246,0.10810219964840653
71.22448979591837,0.40816326530612246,0.1310747345836691
72.85714285714286,0.40816326530612246,0.15864036625140138
74.48979591836735,0.40816326530612246,0.1916592606239284
76.12244897959184,0.40816326530612246,0.2311416554445101
77.75510204081633,0.40816326530612246,0.278272091560736
79.38775510204081,0.40816326530612246,0.33443723497896455
81.0204081632653,0.40816326530612246,0.40125777265599816
82.65306122448979,0.40816326530612246,0.4806249231502541
84.28571428571428,0.40816326530612246,0.5747421674769905
85.91836734693878,0.40816326530612246,0.6861728763949311
87.55102040816327,0.40816326530612246,0.8178945884768135
89.18367346938776,0.40816326530612246,0.9733607793066822
90.81632653061224,0.40816326530612246,1.1565710566660037
92.44897959183673,0.40816326530612246,1.372150820327611
94.08163265306123,0.40816326530612246,1.6254415388235004
95.71428571428572,0.40816326530612246,1.922602920091994
97.34693877551021,0.40816326530612246,2.2707283890906194
98.9795918367347,0.40816326530612246,2.6779754341856825
100.61224489795919,0.40816326530612246,3.1537125463511098
102.24489795918367,0.40816326530612246,3.7086846519369723
103.87755102040816,0.40816326530612246,4.35519913206695
105.51020408163265,0.40816326530612246,5.107334730718088
107.14285714285714,0.40816326530612246,5.9811758804059885
108.77551020408163,0.40816326530612246,6.99507522039092
110.40816326530611,0.40816326530612246,8.169947348740932
112.04081632653062,0.40816326530612246,9.52959713780753
113.6734693877551,0.40816326530612246,11.101086254126402
115.3061224489796,0.40816326530612246,12.915141859951662
116.93877551020408,0.40816326530612246,15.006611836142683
118.57142857142857,0.40816326530612246,17.414971256583325
120.20408163265306,0.40816326530612246,20.184885264443565
121.83673469387756,0.40816326530612246,23.366833952166246
