Year,Hazard_Rate,Cost_Ratio
15.0,0.02,0.1
15.050167224080267,0.020232105727140168,0.10116052863570084
15.100334448160535,0.020466905107708905,0.10233452553854452
15.150501672240802,0.020704429402325582,0.1035221470116279
15.200668896321071,0.020944710234398048,0.10472355117199024
15.250836120401338,0.021187779594332806,0.10593889797166403
15.301003344481606,0.021433669843794217,0.10716834921897109
15.351170568561873,0.02168241372001303,0.10841206860006514
15.40133779264214,0.021934044340144912,0.10967022170072455
15.451505016722408,0.022188595205679614,0.11094297602839806
15.501672240802675,0.02244610020690127,0.11223050103450635
15.551839464882944,0.02270659362740048,0.1135329681370024
15.602006688963211,0.022970110148638683,0.1148505507431934
15.652173913043478,0.023236684854565665,0.11618342427282832
15.702341137123746,0.023506353236290464,0.11753176618145232
15.752508361204013,0.023779151196806608,0.11889575598403303
15.80267558528428,0.02405511505577215,0.12027557527886074
15.852842809364548,0.02433428155434517,0.12167140777172586
15.903010033444817,0.024616687860075426,0.12308343930037713
15.953177257525084,0.024902371571852697,0.12451185785926348
16.00334448160535,0.025191370724912666,0.12595685362456333
16.05351170568562,0.02548372379590085,0.12741861897950427
16.103678929765888,0.025779469707995196,0.12889734853997598
16.153846153846153,0.0260786478360883,0.1303932391804415
16.204013377926422,0.026381298012029694,0.13190649006014846
16.254180602006688,0.026687460529928868,0.13343730264964435
16.304347826086957,0.026997176151520065,0.13498588075760032
16.354515050167223,0.02731048611158905,0.13655243055794525
16.40468227424749,0.027627432123463153,0.13813716061731576
16.45484949832776,0.027948056384564768,0.13974028192282384
16.505016722408026,0.02827240158202945,0.14136200791014725
16.555183946488295,0.028600510898389254,0.14300255449194627
16.60535117056856,0.028932428017321793,0.14466214008660896
16.65551839464883,0.02926819712946636,0.1463409856473318
16.705685618729095,0.02960786293830718,0.1480393146915359
16.755852842809364,0.029951470666125305,0.14975735333062654
16.806020066889634,0.030299066060019243,0.1514953303000962
16.8561872909699,0.030650695397995673,0.15325347698997838
16.906354515050168,0.031006405495130864,0.15503202747565434
16.956521739130434,0.03136624370980337,0.15683121854901685
17.006688963210703,0.03173025794999937,0.15865128974999684
17.05685618729097,0.03209849667969084,0.1604924833984542
17.107023411371237,0.032471008925288154,0.1623550446264408
17.157190635451506,0.03284784428216712,0.16423922141083558
17.207357859531772,0.03322905292127208,0.16614526460636042
17.25752508361204,0.03361468559579565,0.16807342797897823
17.307692307692307,0.03400479364793565,0.17002396823967825
17.357859531772576,0.03439942901573093,0.17199714507865468
17.408026755852845,0.0347986442399761,0.17399322119988048
17.45819397993311,0.03520249247121667,0.17601246235608337
17.50836120401338,0.03561102747682559,0.17805513738412795
17.558528428093645,0.036024303648161435,0.1801215182408072
17.608695652173914,0.03644237600781019,0.18221188003905095
17.65886287625418,0.03686530021691059,0.18432650108455295
17.70903010033445,0.03729313258256494,0.1864656629128247
17.759197324414714,0.03772593006533547,0.18862965032667733
17.809364548494983,0.03816375028682818,0.1908187514341409
17.859531772575252,0.03860665153736421,0.19303325768682106
17.909698996655518,0.03905469278374054,0.19527346391870268
17.959866220735787,0.039507933677080866,0.19753966838540432
18.010033444816052,0.03996643456077707,0.19983217280388538
18.06020066889632,0.04043025647852355,0.20215128239261776
18.11036789297659,0.04089946118244413,0.20449730591222065
18.160535117056856,0.04137411114131373,0.20687055570656868
18.210702341137125,0.04185426954887538,0.20927134774437692
18.26086956521739,0.042340000332253484,0.21170000166126743
18.31103678929766,0.04283136816046515,0.21415684080232578
18.361204013377925,0.043328438453029784,0.21664219226514891
18.411371237458194,0.04383127738867922,0.2191563869433961
18.46153846153846,0.044339951914168306,0.22169975957084154
18.51170568561873,0.04485452975318824,0.22427264876594116
18.561872909698998,0.04537507941538296,0.22687539707691481
18.612040133779264,0.04590167020547046,0.2295083510273523
18.662207357859533,0.04643437223246993,0.2321718611623496
18.712374581939798,0.04697325641903565,0.23486628209517826
18.762541806020067,0.047518394510899765,0.23759197255449882
18.812709030100336,0.048069859086424076,0.24034929543212039
18.862876254180602,0.04862772356626306,0.24313861783131532
18.91304347826087,0.049192062223139016,0.2459603111156951
