RUL_Years,Prior_PDF,Intermediate_PDF,Posterior_PDF
5.0,0.0041784122434091455,3.764611660489869e-05,7.505515001960691e-19
5.030060120240481,0.004271561419987463,4.0353332044395836e-05,1.0785777065875161e-18
5.060120240480962,0.004366465066963056,4.3243167463485684e-05,1.5474788519879394e-18
5.090180360721443,0.004463148008391765,4.6327031492784955e-05,2.2166664428022258e-18
5.1202404809619235,0.004561635220835207,4.9616979963677745e-05,3.1701390497522097e-18
5.150300601202405,0.004661951829287187,5.3125748138456504e-05,4.526459280747916e-18
5.180360721442886,0.0047641231029546,5.6866784253335125e-05,6.452696889594946e-18
5.210420841683367,0.004868174450891695,6.0854284409477086e-05,9.18388111113102e-18
5.240480961923848,0.004974131417486398,6.510322884694269e-05,1.3050092259872051e-17
5.270541082164328,0.005082019677797297,6.962941963613115e-05,1.8514127575937147e-17
5.30060120240481,0.005191865032740407,7.444951982086541e-05,2.6223778200652554e-17
5.330661322645291,0.0053036934041243355,7.958109404671334e-05,3.708425980323948e-17
5.3607214428857715,0.0054175308295329,8.504265070749534e-05,5.235839292170228e-17
5.390781563126253,0.005533403457054236,9.085368564213745e-05,7.380492476699157e-17
5.420841683366733,0.005651337539855286,9.703472741312666e-05,1.038691832818353e-16
5.4509018036072145,0.005771359430601011,0.00010360738419678615,1.4594540723744296e-16
5.480961923847695,0.0058934955757172095,0.00011059439231439502,2.0473707273789413e-16
5.511022044088176,0.006017772509496473,0.000118019666431858,2.8675096458450016e-16
5.541082164328658,0.006144216848046369,0.00012590835145413298,4.0097345837748283e-16
5.571142284569138,0.00627285528307928,0.0001342868761389902,5.597946018041266e-16
5.601202404809619,0.006403714575543442,0.00014318300845285125,7.802685943417045e-16
5.6312625250501,0.006536821549094507,0.0001526259126894728,1.0858301309104454e-15
5.661322645290581,0.00667220308340732,0.0001626462083700762,1.5086274014041824e-15
5.6913827655310625,0.006809886107327632,0.00017327603094115335,2.0926877658865196e-15
5.721442885771543,0.006949897591863282,0.00018454909428364518,2.898205792623267e-15
5.751503006012024,0.007092264543014927,0.0001965007550444335,4.007341425317518e-15
5.781563126252505,0.007237013994445922,0.00020916807879812208,5.532046381053605e-15
5.811623246492986,0.007384172999991558,0.00022258990804393863,7.624609753534264e-15
